rule_id,rule_text;
R1,grant delete on nodes (e:Event) where e.status = "critical" to SeniorDoctor;
R3,deny create on nodes (p:Patient) where p.age < 18 to Intern;
R4,grant modify{*} on nodes (p:Patient) to Intern;
R5,grant create on nodes (*) to Intern;
R6,grant traverse on nodes (p:Patient) where p.condition = "stable" to Intern;
R7,deny delete on nodes (p:Patient) where p.status = critical to Intern;
R8,deny delete on nodes (p:Patient) where p.status <> discharged or p.status = critical to Intern;
R9,grant delete on relationships (t:TREATS) where t.priority >= 5 to HeadPhysician;
R10,grant add{*} on relationships (t:TREATS) to HeadPhysician;
R11,grant traverse on relationships (t:TREATS) where t.status = "active" to HeadPhysician;
R13,grant create on nodes (t:Treatment) where t.cost > 10000 to BillingManager;
R15,grant delete on nodes (t:Treatment) where t.approved = "no" to BillingManager;
R16,grant add{*} on nodes (t:Treatment) to BillingManager;
R17,grant create on relationships (p:PRESCRIBES) where p.dosage > 500 to Doctor;
R19,grant traverse on relationships (p:PRESCRIBES) where p.frequency = "daily" to Doctor;
R20,grant modify{*} on relationships (p:PRESCRIBES) to Doctor;
R21,deny modify{diagnosis} on nodes (p:Patient) to Nurse;
R23,grant read{diagnosis} on nodes (p:Patient) to Nurse;
R24,grant remove{diagnosis} on nodes (p:Patient) to Nurse;
R25,deny modify{*} on nodes (m:MedicalRecord) to Intern;
R26,grant add{*} on nodes (m:MedicalRecord) to Intern;
R27,grant remove{notes} on nodes (m:MedicalRecord) to Intern;
R28,grant read{notes} on nodes (m:MedicalRecord) to Intern;
R29,grant traverse on relationships (pr:PRESCRIBES) where pr.age > 90 AND pr.age < 5 to Junior_Doctor;
R30,grant create on relationships (pr:PRESCRIBES) where pr.dosage >= 1000 AND pr.dosage <= 100 to Junior_Doctor;
R31,deny traverse on nodes (*) to Medical_Secretary;
R32,grant traverse on nodes (m:MedicalRecord) to Medical_Secretary;
R33,grant create on nodes (*) to Medical_Secretary;
R34,grant create on nodes (*) where p.age >= 65 to Senior_Doctor;
R35,grant traverse on nodes (p:Patient) where p.age >= 0 to Senior_Doctor;
R36,grant traverse on relationships (t:TREATS) where t.age = 30 to Department_Head;
R37,grant traverse on relationships (t:TREATS) where t.age >= 18 AND t.age <= 65 to Department_Head;
R38,grant traverse on relationships (t:TREATS) where t.age >= 25 AND t.age <= 40 to Department_Head;
R39,grant add{approval_status} on nodes (t:Treatment) where t.approved = false to Nurse;
R40,grant read{approval_status} on nodes (t:Treatment) to Nurse;
R41,deny read{*} on nodes (t:Treatment) to Nurse;
R42,grant create on relationships (*) to Nurse;
R43,grant traverse on relationships (r:WORKS_ON) where r.year > 2020 to Nurse;
R44,grant create on nodes (e:Document) to Nurse;
R45,grant traverse on nodes (e:Document) to Nurse;
R46,deny traverse on nodes (e:Document) to Nurse;
R47,grant create on nodes (p:Project) where p.active = true AND p.active = false to DataManager;
R48,grant create on nodes (p:Project) where p.phase = "init" AND p.phase != "init" to DataManager;
R49,grant create on nodes (o:Order) where o.status = "paid" AND o.amount > 0 to DataManager;
R50,grant create on nodes (o:Order) where o.status = "paid" to DataManager; 
R51,grant create on nodes (o:Order) where o.status = "paid" AND o.amount > 1000 to DataManager;
R52,grant read{*} on relationships (t:TREATS) to HeadPhysician;


R300,deny modify{age} on nodes (p:Patient) to Intern;
R301,deny add{priority} on relationships (t:TREATS) to HeadPhysician;
R302,deny add{approved} on nodes (t:Treatment) to BillingManager;
R303,deny modify{frequency} on relationships (p:PRESCRIBES) to Doctor;
R304,deny add{notes} on nodes (m:MedicalRecord) to Intern;
R305,deny modify{dosage} on relationships (p:PRESCRIBES) to Doctor;
R306,deny modify{condition} on nodes (p:Patient) to Intern;
R307,deny modify{status} on nodes (p:Patient) to Intern;
R308,deny add{status} on relationships (t:TREATS) to HeadPhysician;
R309,deny add{cost} on nodes (t:Treatment) to BillingManager;



R53,grant create on nodes (e:Employee) to A;
R54,grant create on nodes (e:Project) to A;
R55,grant create on relationships (r:FRIEND_OF) to A;
R56,grant create on nodes (e:Invoice) where e.amount > 1000 to A;
R57,grant create on relationships (r:OWNS) where r.since > 2000 to A;
R58,grant create on nodes (*) to A;
R59,grant create on nodes (e:Document) to B;
R60,grant traverse on nodes (e:Document) to B;
R61,deny traverse on nodes (e:Document) to B;
R62,grant create on relationships (r:OWNS) to B;
R63,grant traverse on relationships (*) to B;
R64,deny traverse on relationships (r:OWNS) to B;
R65,grant create on relationships (*) to C;
R66,grant traverse on relationships (r:CONNECTED) to C;
R67,deny traverse on relationships (*) to C;
R68,grant create on nodes (*) where e.level < 5 to C;
R69,grant traverse on nodes (e:Project) to C;
R70,deny traverse on nodes (*) to C;
R71,grant create on nodes (*) to D;
R72,grant traverse on nodes (e:Employee) to D;
R73,grant create on relationships (*) to D;
R74,grant traverse on relationships (r:WORKS_ON) where r.year > 2020 and r.year < 2018 to D;
R75,grant traverse on nodes (e:Asset) to E;
R76,grant create on nodes (e:Asset) to E;
R77,deny traverse on nodes (e:Secret) to C;
R78,grant add{email} on nodes (u:Account) where u.owner = true to ProfileEditor;
R79,grant read{email} on nodes (u:Account) to ProfileEditor;
R80,grant add{phone} on relationships (u:HAS_CONTACT) to ContactManager;
R81,grant add{address} on nodes (u:Account) where u.owner = true to AddressEditor;
R82,grant read{address} on nodes (u:Account) to AddressEditor;
R83,deny read{*} on nodes (u:Account) to AddressEditor;
R84,grant add{diagnosis} on nodes (p:MedicalFile) where p.assignedDoctor = true to Doctor;
R85,grant read{diagnosis} on nodes (p:MedicalFile) to Doctor;
R86,deny read{diagnosis} on nodes (p:MedicalFile) to Doctor;
R87,grant add{*} on relationships (o:Purchase) where o.ownerId = user.id to OrderManager;
R88,grant read{status} on relationships (o:Purchase) to OrderManager;
R89,grant create on nodes (e:Employee) where e.age > 60 AND e.age < 18 to F;
R90,grant create on nodes (e:Employee) where e.status = "active" AND e.status = "inactive" to F;
R91,grant create on nodes (e:Employee) where false to F;
R92,grant create on nodes (e:Employee) where e.salary > 5000 AND e.salary <= 5000 to F;
R93,grant traverse on nodes (i:Invoice) where i.amount > 1000 to G;
R94,grant traverse on nodes (i:Invoice) where i.amount > 500 to G;
R95,grant traverse on nodes (i:Invoice) where i.amount > 2000 to G;
R96,grant traverse on nodes (u:User) where u.age = 30 to G;
R97,grant traverse on nodes (u:User) where u.age >= 18 AND u.age <= 65 to G;
R98,grant traverse on nodes (u:User) where u.age >= 25 AND u.age <= 40 to G;
R99,grant traverse on nodes (o:Order) where o.status = "paid" AND o.amount > 100 to G;
R100,grant traverse on nodes (o:Order) where o.status = "paid" to G;
R101,grant traverse on nodes (o:Order) where o.status = "paid" AND o.amount > 500 to G;
R102,grant traverse on nodes (a:Asset) where a.value > 1000 to G;
R103,grant traverse on nodes (a:Asset) where a.value > 500 to G;
R104,grant traverse on nodes (a:Asset) where a.value < 0 AND a.value > 100 to G;
R105,grant traverse on nodes (d:Document) where d.confidential = false to G;
R106,grant traverse on nodes (d:Document) where true to G;
R107,grant traverse on nodes (d:Document) where d.owner = "admin" to G;
R108,grant traverse on nodes (e:Employee) where e.age >= 18 AND e.age <= 18 to G;
R109,grant traverse on nodes (e:Employee) where e.level > 3 AND e.level >= 4 to G;
R110,grant traverse on nodes (e:Employee) where e.salary != 5000 AND e.salary > 5000 to G;
R111,grant create on nodes (e:Player) to B;
R112,grant traverse on nodes (e:Player) to B;
R113,deny traverse on nodes (e:Player) where v.score > 85 to B;
R114,grant delete on nodes (d:Document) where d.status = archived to Editor;
R115,deny traverse on relationships (r:OWNS) where r.active = false to Manager;
R116,grant create on nodes (u:User) where u.level >= 5 to Supervisor;
R117,grant create on nodes (p:Post) where p.visibility = private to Moderator;
R118,grant modify{*} on nodes (p:Post) to Moderator;
R119,grant traverse on nodes (a:Account) where a.balance <= 0 to Auditor;
R120,grant modify{*} on nodes (a:Account) to Auditor;
R121,grant delete on relationships (t:TRANSFER) where t.amount > 10000 to Compliance;
R122,grant modify{*} on relationships (t:TRANSFER) to Compliance;
R123,deny modify{salary} on nodes (e:Employee) to HR_Assistant;
R124,grant remove{*} on nodes (e:Employee) to HR_Assistant;
R125,deny modify{date} on relationships (r:REPORTS_TO) to Analyst;
R126,grant remove{*} on relationships (r:REPORTS_TO) to Analyst;
R127,deny modify{*} on nodes (c:Customer) to Support;
R128,grant remove{phone} on nodes (c:Customer) to Support;
R129,deny modify{salary} on nodes (e:Employee) to Payroll_Clerk;
R130,grant remove{salary} on nodes (e:Employee) to Payroll_Clerk;
R131,deny modify{credit_limit} on nodes (a:Account) to Bank_Teller;
R132,grant remove{credit_limit} on nodes (a:Account) to Bank_Teller;
R133,deny modify{role} on nodes (u:User) to IT_Support;
R134,grant remove{role} on nodes (u:User) to IT_Support;

R135,grant read{salary} on nodes (e:Employee) to Payroll_Clerk;
R136,grant read{credit_limit} on nodes (a:Account) to Bank_Teller;
R137,grant read{role} on nodes (u:User) to IT_Support;
R138,grant delete on nodes (p:Patient) where p.status = discharged to Senior_Doctor;
R139,grant modify{status} on nodes (p:Patient) to Senior_Doctor;
R140,grant delete on relationships (pr:PRESCRIBES) where pr.dosage > 500 to Chief_Physician;
R141,grant modify{*} on relationships (pr:PRESCRIBES) to Chief_Physician;
R142,grant delete on nodes (e:Event) where e.severity >= 4 to Risk_Manager;
R143,grant modify{*} on nodes (e:Event) to Risk_Manager;

R310,deny modify{visibility} on nodes (p:Post) to Moderator;
R311,deny modify{balance} on nodes (a:Account) to Auditor;
R312,deny modify{amount} on relationships (t:TRANSFER) to Compliance;
R313,deny modify{severity} on nodes (e:Event) to Risk_Manager;
R314,deny modify{dosage} on relationships (pr:PRESCRIBES) to Chief_Physician;



R144,grant create on nodes (e:Invoice) where e.amount > 2000 to Z;
R145,grant create on nodes (e:Invoice) where e.amount > 500 to Z;
R146,grant create on relationships (r:FRIEND_OF) to Z;
R147,grant create on nodes (e:Invoice) where e.amount > 1000 to Z;
R148,grant create on nodes (*) to Z;
R149,grant create on nodes (e:Document) to Y;
R150,grant traverse on nodes (e:Document) to Y;
R151,deny traverse on nodes (e:Document) to Y;
R152,grant create on relationships (*) to X;
R153,grant traverse on relationships (r:CONNECTED) where e.link != 5000 AND e.link > 5000 AND e.link <= 5000 to X;
R154,deny traverse on relationships (*) to X;
R155,grant create on nodes (*) where e.level < 5 to X;
R156,grant traverse on nodes (e:Project) to X;
R157,deny traverse on nodes (*) to X;
R158,grant traverse on nodes (e:Employee) where e.salary != 5000 AND e.salary > 5000 to W;
R159,grant create on relationships (*) to W;
R160,grant traverse on relationships (r:WORKS_ON) where r.year > 2020 and r.year < 2018 to W;
R161,grant delete on nodes (d:Document) where d.status = archived to EditorEditor;
R162,grant create on nodes (p:Post) where p.visibility = private to ModeratorModerator;
R163,grant modify{*} on nodes (p:Post) to ModeratorModerator;
R164,deny modify{*} on nodes (c:Customer) to SupportSupport;
R165,grant remove{phone} on nodes (c:Customer) to SupportSupport;
R166,deny modify{role} on nodes (u:User) to IT_SupportIT_Support;
R167,grant remove{role} on nodes (u:User) to IT_SupportIT_Support;
R315,deny modify{visibility} on nodes (p:Post) to ModeratorModerator;

R168,grant create on nodes (e:Invoice) where e.amount > 2000 to ZZ;
R169,grant create on nodes (e:Invoice) where e.amount > 500 to ZZ;
R170,grant create on relationships (r:FRIEND_OF) to ZZ;
R171,grant create on nodes (e:Invoice) where e.amount > 1000 to ZZ;
R172,grant create on nodes (*) to ZZ;
R173,grant create on nodes (e:Document) to YY;
R174,grant traverse on nodes (e:Document) to YY;
R175,deny traverse on nodes (e:Document) to YY;
R176,grant create on relationships (*) to XX;
R177,grant traverse on relationships (r:CONNECTED) where e.link != 5000 AND e.link > 5000 AND e.link <= 5000 to XX;
R178,deny traverse on relationships (*) to XX;
R179,grant create on nodes (*) where e.level < 5 to XX;
R180,grant traverse on nodes (e:Project) to XX;
R181,deny traverse on nodes (*) to XX;
R182,grant traverse on nodes (e:Employee) where e.salary != 5000 AND e.salary > 5000 to WW;
R183,grant create on relationships (*) to WW;
R184,grant traverse on relationships (r:WORKS_ON) where r.year > 2020 and r.year < 2018 to WW;
R185,grant delete on nodes (d:Document) where d.status = archived to Editor_Editor;
R186,grant create on nodes (p:Post) where p.visibility = private to Moderator_Moderator;
R187,grant modify{*} on nodes (p:Post) to Moderator_Moderator;
R188,deny modify{*} on nodes (c:Customer) to Support_Support;
R189,grant remove{phone} on nodes (c:Customer) to Support_Support;
R190,deny modify{role} on nodes (u:User) to IT_Support_IT_Support;
R191,grant remove{role} on nodes (u:User) to IT_Support_IT_Support;
R316,deny modify{visibility} on nodes (p:Post) to Moderator_Moderator;
