rule_id,rule_text;
R26,deny traverse on nodes (dev:Device) where dev.compromised = true to security;
R28,grant create on nodes (f:File) where f.owner = $uid to user;
R30,grant modify{price} on nodes (prod:Product) where prod.category = "Electronics" to supervisor;
R32,grant traverse on nodes (e:Event) where e.doctor_id = $doc_ID to doctor;
R36,deny delete on nodes (p:Patient) where p.critical = true to nurse;
R38,grant delete on nodes (p:Patient) where p.critical = false to nurse;
R40,grant modify{status} on nodes (r:Request) where r.level > 0 to admin;
R42,deny modify{status} on nodes (r:Request) where r.flag = true to admin;
R43,grant traverse on nodes (t:Task) where t.priority = "high" OR t.deadline < "2025-01-01" to manager;
R45,deny traverse on nodes (t:Task) where t.priority = "high" AND t.blocked = true to manager;
R46,grant add{amount} on nodes (tr:Transaction) where tr.valid = true to accountant;
R48,deny add{amount} on nodes (tr:Transaction) where tr.fraud = true to accountant;
R49,grant modify{grade} on nodes (s:Student) where s.year >= 1 to teacher;
R50,grant modify{grade} on nodes (s:Student) where s.year >= 3 AND s.program = "CS" to teacher;
R51,deny modify{grade} on nodes (s:Student) where s.suspended = true to teacher;
R52,grant traverse on relationships (en:ENROLLED_IN) where en.semester = "S2" to registrar;
R54,grant modify{email} on nodes (u:User) where u.active = true to support;
R56,grant delete on nodes (acc:Account) where acc.balance > 0 to operator;
R57,grant add{balance} on nodes (acc:Account) to operator;
R58,grant delete on nodes (p:Project) where p.status = "Active" to manager;
R59,grant modify{status} on nodes (p:Project) to manager;
R60,grant delete on nodes (d:Document) where d.owner = $user to editor;
R61,grant add{owner} on nodes (d:Document) to editor;
R62,grant delete on nodes (r:Report) where r.confidential = true to intern;
R63,grant remove{confidential} on nodes (r:Report) to intern;
R64,grant delete on nodes (e:Event) where e.type = "Login" to auditor;
R65,grant add{type} on nodes (e:Event) to auditor;
R66,grant delete on nodes (t:Task) where t.priority = 10 to worker;
R67,grant remove{priority} on nodes (t:Task) to worker;
R68,grant delete on nodes (n:Node) where n.created_at > n.updated_at to admin;
R69,grant modify{created_at} on nodes (n:Node) to admin;
R70,grant modify{updated_at} on nodes (n:Node) to admin;
R71,grant delete on nodes (a:Asset) where a.cost > 1000 to finance;
R72,grant add{cost} on nodes (a:Asset) to finance;
R73,grant remove{cost} on nodes (a:Asset) to finance;
R74,deny modify{tag} on nodes (f:File) to admin;
R75,grant add{tag} on nodes (f:File) to admin;
R76,grant remove{tag} on nodes (f:File) to admin;
R77,grant delete on nodes (c:Customer) where c.phone = "Private" to agent;
R78,grant modify{phone} on nodes (c:Customer) to agent;
R79,deny modify{email} on nodes (u:User) to admin;
R80,grant add{email} on nodes (u:User) to admin;
R81,grant remove{email} on nodes (u:User) to admin;
R82,grant delete on nodes (emp:Employee) where emp.level > 3 to hr;
R83,grant modify{level} on nodes (emp:Employee) to hr;
R84,grant create on nodes (u:User) where u.role = "guest" to visitor;
R85,grant add{name} on nodes (u:User) where u.level = 1 to visitor;
R86,grant create on nodes (p:Post) where p.status = "draft" to editor;
R87,grant add{content} on nodes (p:Post) where p.status = "draft" to writer;
R88,grant create on nodes (c:Comment) where c.flagged = false to member;
R89,grant add{text} on nodes (c:Comment) where c.flagged = false to member;
R90,grant add{likes} on nodes (c:Comment) where c.flagged = false to member;
R91,grant create on relationships (r:REPLIED_TO) where r.length < 10 to member;
R92,grant add{timestamp} on relationships (r:REPLIED_TO) where r.length < 10 to member;
R93,grant create on relationships (f:FRIEND_WITH) where f.since > 2019 to user;
R94,grant add{since} on relationships (f:FRIEND_WITH) where f.since > 2019 to user;
R95,grant create on nodes (t:Tag) where t.popularity > 5 to editor;
R96,grant add{label} on nodes (t:Tag) where t.popularity > 5 to editor;
R97,grant add{popularity} on nodes (t:Tag) where t.popularity > 5 to editor;
R98,grant create on nodes (g:Group) where g.private = true to manager;
R99,grant add{visibility} on nodes (g:Group) where g.private = true to manager;
R100,grant create on nodes (a:Article) where a.type = "news" to author;
R101,grant add{title} on nodes (a:Article) where a.type = "news" to author;
R102,grant add{summary} on nodes (a:Article) where a.type = "news" to author;
R103,grant create on relationships (l:LIKES) to user;
R104,grant add{weight} on relationships (l:LIKES) to user;
R105,grant create on relationships (v:VIEWED) where v.count < 10 to analyst;
R106,grant add{count} on relationships (v:VIEWED) where v.count < 10 to analyst;
R107,grant create on nodes (n:Notification) to system;
R108,grant add{message} on nodes (n:Notification) to system;
R109,grant create on nodes (s:Session) where s.active = true to admin;
R110,grant add{token} on nodes (s:Session) where s.active = true to admin;
R111,grant create on relationships (o:OWNS) to owner;
R112,grant add{share} on relationships (o:OWNS) to owner;
R113,grant create on nodes (r:Report) where r.status = "open" to auditor;
