rule_id,rule_text;
R1,grant delete on nodes (e:Event) where e.status = "critical" to SeniorDoctor;
R2,grant modify{status} on nodes (e:Event) to SeniorDoctor;
R3,deny create on nodes (p:Patient) where p.age < 18 to Intern;
R4,grant modify{*} on nodes (p:Patient) to Intern;
R5,grant create on nodes (*) to Intern;
R6,grant traverse on nodes (p:Patient) where p.condition = "stable" to Intern;
R8,deny delete on nodes (p:Patient) where p.status <> discharged or p.status = critical to Intern;
R9,grant delete on relationships (t:TREATS) where t.priority >= 5 to HeadPhysician;
R10,grant add{*} on relationships (t:TREATS) to HeadPhysician;
R11,grant traverse on relationships (t:TREATS) where t.status = "active" to HeadPhysician;
R12,grant modify{status} on relationships (t:TREATS) to HeadPhysician;
R13,grant create on nodes (t:Treatment) where t.cost > 10000 to BillingManager;
R14,grant modify{cost} on nodes (t:Treatment) to BillingManager;
R15,grant delete on nodes (t:Treatment) where t.approved = "no" to BillingManager;
R16,grant add{*} on nodes (t:Treatment) to BillingManager;
R17,grant create on relationships (p:PRESCRIBES) where p.dosage > 500 to Doctor;
R18,grant remove{dosage} on relationships (p:PRESCRIBES) to Doctor;
R19,grant traverse on relationships (p:PRESCRIBES) where p.frequency = "daily" to Doctor;
R20,grant modify{*} on relationships (p:PRESCRIBES) to Doctor;
R21,deny modify{diagnosis} on nodes (p:Patient) to Nurse;
R22,grant add{diagnosis} on nodes (p:Patient) to Nurse;
R23,grant read{diagnosis} on nodes (p:Patient) to Nurse;
R24,grant remove{diagnosis} on nodes (p:Patient) to Nurse;
R25,deny modify{*} on nodes (m:MedicalRecord) to Intern;
R26,grant add{*} on nodes (m:MedicalRecord) to Intern;
R27,grant remove{notes} on nodes (m:MedicalRecord) to Intern;
R28,grant read{notes} on nodes (m:MedicalRecord) to Intern;
R31,deny traverse on nodes (*) to Medical_Secretary;
R32,grant traverse on nodes (m:MedicalRecord) to Medical_Secretary;
R33,grant create on nodes (*) to Medical_Secretary;
R34,grant create on nodes (*) where p.age >= 65 to Senior_Doctor;
R35,grant traverse on nodes (p:Patient) where p.age >= 0 to Senior_Doctor;
R37,grant traverse on relationships (t:TREATS) where t.age >= 18 AND t.age <= 65 to Department_Head;
R39,grant add{approval_status} on nodes (t:Treatment) where t.approved = false to Nurse;
R40,grant read{approval_status} on nodes (t:Treatment) to Nurse;
R41,deny read{*} on nodes (t:Treatment) to Nurse;
R42,grant create on relationships (*) to Nurse;
R43,grant traverse on relationships (r:WORKS_ON) where r.year > 2020 to Nurse;
R44,grant create on nodes (e:Document) to Nurse;
R45,grant traverse on nodes (e:Document) to Nurse;
R46,deny traverse on nodes (e:Document) to Nurse;
R50,grant create on nodes (o:Order) where o.status = "paid" to DataManager;
R52,grant read{*} on relationships (t:TREATS) to HeadPhysician;
