rule_id,rule_text;
R1, grant delete on nodes (e:Event) where e.status = "critical" to SeniorDoctor; | Element_Condition_Bypass | none;
R2, grant modify{status} on nodes (e:Event) to SeniorDoctor; | Element_Condition_Bypass | remove R4;consist

R3, deny create on nodes (p:Patient) where p.age < 18 to Intern; | Element_Condition_Bypass | none;consist
R4, grant modify{*} on nodes (p:Patient) to Intern; | Element_Condition_Bypass | add deny modify{age} on nodes (p:Patient) to Intern;
R5, grant traverse on nodes (p:Patient) where p.condition = "stable" to Intern; | Element_Condition_Bypass | none;consist
R6, grant remove{condition} on nodes (p:Patient) to Intern; | Element_Condition_Bypass | remove R8;

R5, grant create on nodes (*)  to Intern;la
R6, grant traverse on nodes (p:Patient) where p.condition = "stable" to Intern;consist

R7, deny Delete on nodes (p:Patient) where p.status = critical to Intern;  | implied by R9;redund
R8, deny Delete on nodes (p:Patient) where p.status <> discharged or p.status = critical to Intern; 

R9, grant delete on relationships (t:TREATS) where t.priority >= 5 to HeadPhysician; | Element_Condition_Bypass | none;
R10, grant add{*} on relationships (t:TREATS) to HeadPhysician; | Element_Condition_Bypass | add deny add{priority} on relationships (t:TREATS) to HeadPhysician;consist;la
R11, grant traverse on relationships (t:TREATS) where t.status = "active" to HeadPhysician; | Element_Condition_Bypass | none;
R12, grant modify{status} on relationships (t:TREATS) to HeadPhysician; | Element_Condition_Bypass | remove R12;consist

R13, grant create on nodes (t:Treatment) where t.cost > 10000 to BillingManager; | Element_Condition_Bypass | none;la
R14, grant modify{cost} on nodes (t:Treatment) to BillingManager; | Element_Condition_Bypass | remove R14;consist
R15, grant delete on nodes (t:Treatment) where t.approved = "no" to BillingManager; | Element_Condition_Bypass | none;
R16, grant add{*} on nodes (t:Treatment) to BillingManager; | Element_Condition_Bypass | add deny add{approved} on nodes (t:Treatment) to BillingManager;consist;la

R17, grant create on relationships (p:PRESCRIBES) where p.dosage > 500 to Doctor; | Element_Condition_Bypass | none;
R18, grant remove{dosage} on relationships (p:PRESCRIBES) to Doctor; | Element_Condition_Bypass | remove R18;consist
R19, grant traverse on relationships (p:PRESCRIBES) where p.frequency = "daily" to Doctor; | Element_Condition_Bypass | none;
R20, grant modify{*} on relationships (p:PRESCRIBES) to Doctor; | Element_Condition_Bypass | add deny modify{frequency} on relationships (p:PRESCRIBES) to Doctor;consist

R21, deny modify{diagnosis} on nodes (p:Patient) to Nurse; | Modify_Bypass_AddRemove | none;
R22, grant add{diagnosis} on nodes (p:Patient) to Nurse; | Modify_Bypass_AddRemove | remove R22;consist
R23, grant read{diagnosis} on nodes (p:Patient) to Nurse;
R24, grant remove{diagnosis} on nodes (p:Patient) to Nurse; | Modify_Bypass_AddRemove | none;

R25, deny modify{*} on nodes (m:MedicalRecord) to Intern; | Modify_Bypass_AddRemove | none;
R26, grant add{*} on nodes (m:MedicalRecord) to Intern; | Modify_Bypass_AddRemove | add deny add{notes} on nodes (m:MedicalRecord) to Intern;consist;la
R27, grant remove{notes} on nodes (m:MedicalRecord) to Intern; | Modify_Bypass_AddRemove | none;
R28, grant read{notes} on nodes (m:MedicalRecord) to Intern;

R29,grant traverse on relationships (pr:PRESCRIBES) where pr.age > 90 AND pr.age < 5 to Junior_Doctor;redund
R30, grant create on relationships (pr:PRESCRIBES) where pr.dosage >= 1000 AND pr.dosage <= 100 to Junior_Doctor;redund

R31, deny traverse on nodes (*) to Medical_Secretary;
R32, grant traverse on nodes (m:MedicalRecord) to Medical_Secretary;
R33, grant create on nodes (*) to Medical_Secretary;la

R34, grant create on nodes (*) where p.age >= 65 to Senior_Doctor;la
R35, grant traverse on nodes (p:Patient) where p.age >= 0 to Senior_Doctor;

R36,grant traverse on relationships (t:TREATS) where t.age = 30 to Department_Head; | TYPE: ;redund
R37,grant traverse on relationships (t:TREATS) where t.age >= 18 AND t.age <= 65 to Department_Head; | TYPE: SAT
R38,grant traverse on relationships (t:TREATS) where t.age >= 25 AND t.age <= 40 to Department_Head; | TYPE: ;redund

R39, grant add{approval_status} on nodes(t:Treatment) where t.approved = false to Nurse; | Attribute_Violation_type2 | remove this rule;la
R40, grant read{approval_status} on nodes(t:Treatment) to Nurse; | Attribute_Violation_type2 | -
R41, deny read{*} on nodes(t:Treatment) to Nurse; | Attribute_Violation_type2 | -

R42,grant create on relationships (*) to Nurse;remove wildcard create + add grant create on traversable label;la
R43,grant traverse on relationships (r:WORKS_ON) where r.year > 2020 to Nurse;

R44,grant create on nodes (e:Document) to Nurse; | Modify_Bypass_AddRemove | add deny create on nodes (e:Document) to Nurse;la
R45,grant traverse on nodes (e:Document) to Nurse;
R46,deny traverse on nodes (e:Document) to Nurse;

R47,grant create on nodes (p:Project) where p.active = true AND p.active = false to DataManager; ;redund;la
R48,grant create on nodes (p:Project) where p.phase = "init" AND p.phase != "init" to DataManager; ;redund;la


R49,grant create on nodes (o:Order) where o.status = "paid" AND o.amount > 0 to DataManager; ;redund;la
R50,grant create on nodes (o:Order) where o.status = "paid" to DataManager; la
R51,grant create on nodes (o:Order) where o.status = "paid" AND o.amount > 1000 to DataManager; ;la




R27, deny modify{allergy} on nodes (p:Patient) to Resident; | Modify_Bypass_AddRemove | none;
