rule_id,rule_text;
R1,grant delete on nodes (e:Event) where e.status = "critical" to SeniorDoctor;

R3,deny create on nodes (p:Patient) where p.age < 18 to Intern;
R4,grant modify{*} on nodes (p:Patient) to Intern;
R5,grant create on nodes (*) to Intern;
R6,grant traverse on nodes (p:Patient) where p.condition = "stable" to Intern;

R8,deny delete on nodes (p:Patient) where p.status <> discharged or p.status = critical to Intern;
R9,grant delete on relationships (t:TREATS) where t.priority >= 5 to HeadPhysician;

R11,grant traverse on relationships (t:TREATS) where t.status = "active" to HeadPhysician;


R14,grant modify{cost} on nodes (t:Treatment) to BillingManager;
R15,grant delete on nodes (t:Treatment) where t.approved = "no" to BillingManager;

R17,grant create on relationships (p:PRESCRIBES) where p.dosage > 500 to Doctor;

R19,grant traverse on relationships (p:PRESCRIBES) where p.frequency = "daily" to Doctor;
R20,grant modify{*} on relationships (p:PRESCRIBES) to Doctor;
R21,deny modify{diagnosis} on nodes (p:Patient) to Nurse;

R23,grant read{diagnosis} on nodes (p:Patient) to Nurse;
R24,grant remove{diagnosis} on nodes (p:Patient) to Nurse;
R25,deny modify{*} on nodes (m:MedicalRecord) to Intern;

R27,grant remove{notes} on nodes (m:MedicalRecord) to Intern;
R28,grant read{notes} on nodes (m:MedicalRecord) to Intern;


R31,deny traverse on nodes (*) to Medical_Secretary;
R32,grant traverse on nodes (m:MedicalRecord) to Medical_Secretary;


R35,grant traverse on nodes (p:Patient) where p.age >= 0 to Senior_Doctor;

R37,grant traverse on relationships (t:TREATS) where t.age >= 18 AND t.age <= 65 to Department_Head;


R40,grant read{approval_status} on nodes (t:Treatment) to Nurse;
R41,deny read{*} on nodes (t:Treatment) to Nurse;

R43,grant traverse on relationships (r:WORKS_ON) where r.year > 2020 to Nurse;
R44,grant create on nodes (e:Document) to Nurse;
R45,grant traverse on nodes (e:Document) to Nurse;
R46,deny traverse on nodes (e:Document) to Nurse;


R100,deny create on nodes (e:Document) to Nurse;
R101,grant create on relationships (r:WORKS_ON) to Nurse;
R102,grant create on nodes (p:Patient) where p.age >= 65 to Senior_Doctor;
R104,grant create on nodes (p:Patient) to Intern;

R105,deny modify{age} on nodes (p:Patient) to Intern;
R106,deny modify{frequency} on relationships (p:PRESCRIBES) to Doctor;
R107,deny modify{dosage} on relationships (p:PRESCRIBES) to Doctor;
R105,deny modify{dosage} on nodes (p:Patient) to Intern;
