rule_id,rule_text;
R1,grant create on nodes (u:User) to guest;
R2,grant add{name} on nodes (u:User) where u.role = "member" to guest;
R3,grant traverse on nodes (u:User) where u.active = true to guest;
R4,grant read{email} on nodes (u:User) to guest;
R5,grant create on nodes (p:Post) to author;
R6,grant traverse on nodes (p:Post) where p.status = "published" to author;
R7,grant add{content} on nodes (p:Post) where p.status = "draft" to author;
R8,grant read{content} on nodes (p:Post) to author;
R9,grant create on nodes (c:Comment) to member;
R10,grant traverse on nodes (c:Comment) where c.approved = true to member;
R11,grant add{text} on nodes (c:Comment) where c.flagged = false to member;
R12,grant add{likes} on nodes (c:Comment) where c.flagged = false to member;
R13,grant read{text} on nodes (c:Comment) to member;
R14,grant create on relationships (r:REPLIED_TO) to member;
R15,grant add{timestamp} on relationships (r:REPLIED_TO) where r.length < 5 to member;
R16,grant read{timestamp} on relationships (r:REPLIED_TO) to member;
R17,grant create on relationships (f:FRIEND_WITH) to user;
R18,grant traverse on relationships (f:FRIEND_WITH) where f.since > 2020 to user;
R20,grant read{since} on relationships (f:FRIEND_WITH) to user;
R21,grant create on nodes (t:Tag) to editor;
R22,grant add{label} on nodes (t:Tag) where t.popularity > 10 to editor;
R24,grant read{label} on nodes (t:Tag) to editor;
R25,grant create on nodes (g:Group) where g.public = true to manager;
R26,grant add{email} on nodes (u:User) to guest;
R27,grant create on nodes (inv:Invoice) to accountant;
R28,grant traverse on relationships (pa:PAYS) to finance_officer;
R29,grant create on relationships (pa:PAYS) to finance_officer;
R30,grant traverse on nodes (tkt:Ticket) to support_agent;
R31,grant create on nodes (tkt:Ticket) to support_agent;
R32,grant traverse on relationships (as:ASSIGNS) to team_lead;
R33,grant create on relationships (as:ASSIGNS) to team_lead;
R34,grant traverse on nodes (ord:Order) to sales_rep;
R35,grant create on nodes (ord:Order) to sales_rep;
R36,grant traverse on relationships (co:CONTAINS) to warehouse_staff;
R37,grant create on relationships (co:CONTAINS) to warehouse_staff;
R38,grant traverse on nodes (blog:BlogPost) to content_writer;
R39,grant create on nodes (blog:BlogPost) to content_writer;
R40,grant traverse on relationships (ta:TAGS) to seo_specialist;
R41,grant create on relationships (ta:TAGS) to seo_specialist;
R42,grant traverse on nodes (prod:Product) to catalog_manager;
R43,grant create on nodes (prod:Product) to catalog_manager;
R44,grant traverse on relationships (su:SUPPLIES) to vendor;
R45,grant create on relationships (su:SUPPLIES) to vendor;
R46,grant traverse on nodes (evt:Event) to event_planner;
R47,grant create on nodes (evt:Event) to event_planner;
R48,grant traverse on relationships (at:ATTENDS) to participant;
R49,grant create on relationships (at:ATTENDS) to participant;
R50,grant traverse on nodes (sub:Subscription) to billing_admin;
R51,grant create on nodes (sub:Subscription) to billing_admin;
R52,grant traverse on nodes (inv:Invoice) to accountant;
R53,deny traverse on nodes (inv:Invoice) to accountant;
