rule_id,rule_text
R7,grant create on nodes (e:Document) to B;
R8,grant traverse on nodes (e:Document) to B;
R9,deny traverse on nodes (e:Document) to B;
R10,grant create on relationships (r:OWNS) to B;
R11,grant traverse on relationships (*) to B;
R12,deny traverse on relationships (r:OWNS) to B;

R101,deny create on nodes (e:Document) to B;
R202,deny create on relationships (r:OWNS) to B;


R14,grant traverse on relationships (r:CONNECTED) to C;
R15,deny traverse on relationships (*) to C;

R17,grant traverse on nodes (e:Project) to C;
R18,deny traverse on nodes (*) to C;
R19,grant create on nodes (*) to D;
R20,grant traverse on nodes (e:Employee) to D;
R105,grant create on nodes (e:Employee) to D;
R23,grant traverse on nodes (e:Asset) to E;
R24,grant create on nodes (e:Asset) to E;
R25,deny traverse on nodes (e:Secret) to C;
R26,grant add{email} on nodes (u:Account) where u.owner = true to ProfileEditor;
R27,grant read{email} on nodes (u:Account) to ProfileEditor;
R30,grant read{address} on nodes (u:Account) to AddressEditor;
R31,deny read{*} on nodes (u:Account) to AddressEditor;
R33,grant read{diagnosis} on nodes (p:MedicalFile) to Doctor;
R34,deny read{diagnosis} on nodes (p:MedicalFile) to Doctor;
R304,grant add{status} on relationships (o:Purchase) where o.ownerId = user.id to OrderManager;
R36,grant read{status} on relationships (o:Purchase) to OrderManager;
R42,grant traverse on nodes (i:Invoice) where i.amount > 500 to G;
R45,grant traverse on nodes (u:User) where u.age >= 18 AND u.age <= 65 to G;
R48,grant traverse on nodes (o:Order) where o.status = "paid" to G;
R51,grant traverse on nodes (a:Asset) where a.value > 500 to G;
R54,grant traverse on nodes (d:Document) where true to G;
R56,grant traverse on nodes (e:Employee) where e.age >= 18 AND e.age <= 18 to G;
R57,grant traverse on nodes (e:Employee) where e.level > 3 AND e.level >= 4 to G;
R58,grant traverse on nodes (e:Employee) where e.salary != 5000 AND e.salary > 5000 to G;
R59,grant create on nodes (e:Player) to B;
R60,grant traverse on nodes (e:Player) to B;
R61,deny traverse on nodes (e:Player) where v.score > 85 to B;
R303,deny create on nodes (e:Player) where v.score > 85 to B;

R62,grant delete on nodes (d:Document) where d.status = archived to Editor;

R64,deny traverse on relationships (r:OWNS) where r.active = false to Manager;


R69,grant modify{*} on nodes (p:Post) to Moderator;
R70,grant traverse on nodes (a:Account) where a.balance <= 0 to Auditor;
R71,grant modify{*} on nodes (a:Account) to Auditor;
R209,deny modify{balance} on nodes (a:Account) to Auditor;
R72,grant delete on relationships (t:TRANSFER) where t.amount > 10000 to Compliance;
R73,grant modify{*} on relationships (t:TRANSFER) to Compliance;
R319,deny modify{amount} on relationships (t:TRANSFER) to Compliance;
R74,deny modify{salary} on nodes (e:Employee) to HR_Assistant;

R76,grant remove{*} on nodes (e:Employee) to HR_Assistant;
R77,deny modify{date} on relationships (r:REPORTS_TO) to Analyst;

R79,grant remove{*} on relationships (r:REPORTS_TO) to Analyst;
R80,deny modify{*} on nodes (c:Customer) to Support;

R82,grant remove{phone} on nodes (c:Customer) to Support;

R83,deny modify{salary} on nodes (e:Employee) to Payroll_Clerk;

R85,grant remove{salary} on nodes (e:Employee) to Payroll_Clerk;
R86,deny modify{credit_limit} on nodes (a:Account) to Bank_Teller;

R88,grant remove{credit_limit} on nodes (a:Account) to Bank_Teller;
R89,deny modify{role} on nodes (u:User) to IT_Support;

R91,grant remove{role} on nodes (u:User) to IT_Support;

R92,grant read{salary} on nodes (e:Employee) to Payroll_Clerk;
R93,grant read{credit_limit} on nodes (a:Account) to Bank_Teller;
R94,grant read{role} on nodes (u:User) to IT_Support;
R95,grant delete on nodes (p:Patient) where p.status = discharged to Senior_Doctor;
R97,grant delete on relationships (pr:PRESCRIBES) where pr.dosage > 500 to Chief_Physician;
R98,grant modify{*} on relationships (pr:PRESCRIBES) to Chief_Physician;
R207,deny modify{dosage} on relationships (pr:PRESCRIBES) to Chief_Physician;

R99,grant delete on nodes (e:Event) where e.severity >= 4 to Risk_Manager;
R100,grant modify{*} on nodes (e:Event) to Risk_Manager;
R208,deny modify{severity} on nodes (e:Event) to Risk_Manager;





R101,grant delete on nodes (e:Event) where e.status = "critical" to SeniorDoctor;

R102,deny create on nodes (p:Patient) where p.age < 18 to Intern;
R103,grant modify{*} on nodes (p:Patient) to Intern;
R305,grant create on nodes (p:Patient) to Intern;
R106,grant traverse on nodes (p:Patient) where p.condition = "stable" to Intern;

R108,deny delete on nodes (p:Patient) where p.status <> discharged or p.status = critical to Intern;
R306,deny modify{condition} on nodes (p:Patient) to Intern;
R307,deny modify{status} on nodes (p:Patient) to Intern;
R308,deny modify{age} on nodes (p:Patient) to Intern;
R109,grant delete on relationships (t:TREATS) where t.priority >= 5 to HeadPhysician;
R110,grant add{*} on relationships (t:TREATS) to HeadPhysician;
R111,grant traverse on relationships (t:TREATS) where t.status = "active" to HeadPhysician;
R152,grant read{*} on relationships (t:TREATS) to HeadPhysician;
R310,deny add{status} on relationships (t:TREATS) to HeadPhysician;
R311,deny add{priority} on relationships (t:TREATS) to HeadPhysician;

R114,grant modify{cost} on nodes (t:Treatment) to BillingManager;
R115,grant delete on nodes (t:Treatment) where t.approved = "no" to BillingManager;

R117,grant create on relationships (p:PRESCRIBES) where p.dosage > 500 to Doctor;
R305,deny modify{dosage} on relationships (p:PRESCRIBES) to Doctor;
R119,grant traverse on relationships (p:PRESCRIBES) where p.frequency = "daily" to Doctor;
R120,grant modify{*} on relationships (p:PRESCRIBES) to Doctor;
R309,deny modify{frequency} on relationships (p:PRESCRIBES) to Doctor;
R121,deny modify{diagnosis} on nodes (p:Patient) to Nurse;

R123,grant read{diagnosis} on nodes (p:Patient) to Nurse;
R124,grant remove{diagnosis} on nodes (p:Patient) to Nurse;
R125,deny modify{*} on nodes (m:MedicalRecord) to Intern;
R127,grant remove{notes} on nodes (m:MedicalRecord) to Intern;
R128,grant read{notes} on nodes (m:MedicalRecord) to Intern;


R131,deny traverse on nodes (*) to Medical_Secretary;
R132,grant traverse on nodes (m:MedicalRecord) to Medical_Secretary;

R302,grant create on nodes (p:Patient) where p.age >= 65 to SeniorDoctor;
R135,grant traverse on nodes (p:Patient) where p.age >= 0 to SeniorDoctor;

R137,grant traverse on relationships (t:TREATS) where t.age >= 18 AND t.age <= 65 to Department_Head;


