rule_id,rule_text;
R1,grant create on nodes (e:Event) where e.severity > 3 to SeniorDoctor;
R2,grant add{severity} on nodes (e:Event) to SeniorDoctor;
R3,grant delete on nodes (e:Event) where e.status = "critical" to SeniorDoctor;
R4,grant modify{status} on nodes (e:Event) to SeniorDoctor;
R5,deny create on nodes (p:Patient) where p.age < 18 to Intern;
R6,grant modify{*} on nodes (p:Patient) to Intern;
R7,grant traverse on nodes (p:Patient) where p.condition = "stable" to Intern;
R8,grant remove{condition} on nodes (p:Patient) to Intern;
R9,grant delete on relationships (t:TREATS) where t.priority >= 5 to HeadPhysician;
R10,grant add{*} on relationships (t:TREATS) to HeadPhysician;
R11,grant traverse on relationships (t:TREATS) where t.status = "active" to HeadPhysician;
R12,grant modify{status} on relationships (t:TREATS) to HeadPhysician;
R13,grant create on nodes (t:Treatment) where t.cost > 10000 to BillingManager;
R14,grant modify{cost} on nodes (t:Treatment) to BillingManager;
R15,grant delete on nodes (t:Treatment) where t.approved = "no" to BillingManager;
R16,grant add{*} on nodes (t:Treatment) to BillingManager;
R17,grant create on relationships (p:PRESCRIBES) where p.dosage > 500 to Doctor;
R18,grant remove{dosage} on relationships (p:PRESCRIBES) to Doctor;
R19,grant traverse on relationships (p:PRESCRIBES) where p.frequency = "daily" to Doctor;
R20,grant modify{*} on relationships (p:PRESCRIBES) to Doctor;
R21,deny modify{diagnosis} on nodes (p:Patient) to Nurse;
R22,grant add{diagnosis} on nodes (p:Patient) to Nurse;
R23,grant remove{diagnosis} on nodes (p:Patient) to Nurse;
R24,deny modify{*} on nodes (m:MedicalRecord) to Intern;
R25,grant add{*} on nodes (m:MedicalRecord) to Intern;
R26,grant remove{notes} on nodes (m:MedicalRecord) to Intern;
R27,deny modify{allergy} on nodes (p:Patient) to Resident;
R28,grant add{allergy} on nodes (p:Patient) to Resident;
R29,grant remove{allergy} on nodes (p:Patient) to Resident;
R30,deny modify{*} on relationships (t:TREATS) to MedicalAssistant;
R31,grant add{*} on relationships (t:TREATS) to MedicalAssistant;
R32,grant remove{notes} on relationships (t:TREATS) to MedicalAssistant;
R33,deny modify{room} on nodes (e:Event) to Receptionist;
R34,grant add{room} on nodes (e:Event) to Receptionist;
R35,grant remove{room} on nodes (e:Event) to Receptionist;
R36,deny modify{*} on nodes (t:Treatment) to Pharmacist;
R37,grant add{*} on nodes (t:Treatment) to Pharmacist;
R38,grant remove{dosage} on nodes (t:Treatment) to Pharmacist;
R39,grant create on nodes (d:Doctor) where d.experience >= 10 to HospitalAdmin;
R40,grant modify{experience} on nodes (d:Doctor) to HospitalAdmin;
R41,grant delete on nodes (i:Intern) where i.performance < 2 to HospitalAdmin;
R42,grant add{*} on nodes (i:Intern) to HospitalAdmin;
R43,grant create on relationships (a:ASSIGNED_TO) where a.shift = "night" to Supervisor;
R44,grant remove{shift} on relationships (a:ASSIGNED_TO) to Supervisor;
R45,grant traverse on nodes (p:Patient) where p.insurance = "premium" to Supervisor;
R46,grant modify{*} on nodes (p:Patient) to Supervisor;
R47,deny modify{medication} on relationships (p:PRESCRIBES) to JuniorDoctor;
R48,grant add{medication} on relationships (p:PRESCRIBES) to JuniorDoctor;
R49,grant remove{medication} on relationships (p:PRESCRIBES) to JuniorDoctor;
R50,deny modify{*} on nodes (e:Event) to LabTechnician;
R51,grant add{*} on nodes (e:Event) to LabTechnician;
R52,grant remove{result} on nodes (e:Event) to LabTechnician;
R53,deny modify{status} on nodes (t:Treatment) to CareCoordinator;
R54,grant add{status} on nodes (t:Treatment) to CareCoordinator;
R55,grant remove{status} on nodes (t:Treatment) to CareCoordinator;
R56,deny modify{*} on relationships (t:TREATS) to ComplianceOfficer;
R57,grant add{*} on relationships (t:TREATS) to ComplianceOfficer;
R58,grant remove{priority} on relationships (t:TREATS) to ComplianceOfficer;
R59,grant delete on nodes (m:MedicalRecord) where m.confidentiality = "high" to DataManager;
R60,grant modify{confidentiality} on nodes (m:MedicalRecord) to DataManager;
R61,grant create on nodes (p:Patient) where p.riskScore > 7 to DataManager;
R62,grant add{*} on nodes (p:Patient) to DataManager;
R63,grant traverse on relationships (f:FOLLOWS_UP) where f.interval < 30 to NurseManager;
R64,grant remove{interval} on relationships (f:FOLLOWS_UP) to NurseManager;
R65,grant create on nodes (e:Event) where e.roomNumber >= 200 to NurseManager;
R66,grant modify{*} on nodes (e:Event) to NurseManager;
R67,deny modify{treatmentPlan} on nodes (p:Patient) to CaseWorker;
R68,grant add{treatmentPlan} on nodes (p:Patient) to CaseWorker;
R69,grant remove{treatmentPlan} on nodes (p:Patient) to CaseWorker;
R70,deny modify{*} on nodes (d:Doctor) to HRManager;
R71,grant add{*} on nodes (d:Doctor) to HRManager;
R72,grant remove{salary} on nodes (d:Doctor) to HRManager;
