rule_id,rule_text;
R1,grant create on nodes (e:Employee) to A;
R2,grant create on nodes (e:Project) to A;
R3,grant create on relationships (r:FRIEND_OF) to A;
R4,grant create on nodes (e:Invoice) where e.amount > 1000 to A;
R5,grant create on relationships (r:OWNS) where r.since > 2000 to A;
R6,grant create on nodes (*) to A;
R7,grant create on nodes (e:Document) to B;
R8,grant traverse on nodes (e:Document) to B;
R9,deny traverse on nodes (e:Document) to B;
R10,grant create on relationships (r:OWNS) to B;
R11,grant traverse on relationships (*) to B;
R12,deny traverse on relationships (r:OWNS) to B;
R13,grant create on relationships (*) to C;
R14,grant traverse on relationships (r:CONNECTED) to C;
R15,deny traverse on relationships (*) to C;
R16,grant create on nodes (*) where e.level < 5 to C;
R17,grant traverse on nodes (e:Project) to C;
R18,deny traverse on nodes (*) to C;
R19,grant create on nodes (*) to D;
R20,grant traverse on nodes (e:Employee) to D;
R21,grant create on relationships (*) to D;
R22,grant traverse on relationships (r:WORKS_ON) where r.year > 2020 and r.year < 2018 to D;
R23,grant traverse on nodes (e:Asset) to E;
R24,grant create on nodes (e:Asset) to E;
R25,deny traverse on nodes (e:Secret) to C;
R26,grant add{email} on nodes (u:Account) where u.owner = true to ProfileEditor;
R27,grant read{email} on nodes (u:Account) to ProfileEditor;
R28,grant add{phone} on relationships (u:HAS_CONTACT) to ContactManager;
R29,grant add{address} on nodes (u:Account) where u.owner = true to AddressEditor;
R30,grant read{address} on nodes (u:Account) to AddressEditor;
R31,deny read{*} on nodes (u:Account) to AddressEditor;
R32,grant add{diagnosis} on nodes (p:MedicalFile) where p.assignedDoctor = true to Doctor;
R33,grant read{diagnosis} on nodes (p:MedicalFile) to Doctor;
R34,deny read{diagnosis} on nodes (p:MedicalFile) to Doctor;
R35,grant add{*} on relationships (o:Purchase) where o.ownerId = user.id to OrderManager;
R36,grant read{status} on relationships (o:Purchase) to OrderManager;
R37,grant create on nodes (e:Employee) where e.age > 60 AND e.age < 18 to F;
R38,grant create on nodes (e:Employee) where e.status = "active" AND e.status = "inactive" to F;
R39,grant create on nodes (e:Employee) where false to F;
R40,grant create on nodes (e:Employee) where e.salary > 5000 AND e.salary <= 5000 to F;
R41,grant traverse on nodes (i:Invoice) where i.amount > 1000 to G;
R42,grant traverse on nodes (i:Invoice) where i.amount > 500 to G;
R43,grant traverse on nodes (i:Invoice) where i.amount > 2000 to G;
R44,grant traverse on nodes (u:User) where u.age = 30 to G;
R45,grant traverse on nodes (u:User) where u.age >= 18 AND u.age <= 65 to G;
R46,grant traverse on nodes (u:User) where u.age >= 25 AND u.age <= 40 to G;
R47,grant traverse on nodes (o:Order) where o.status = "paid" AND o.amount > 100 to G;
R48,grant traverse on nodes (o:Order) where o.status = "paid" to G;
R49,grant traverse on nodes (o:Order) where o.status = "paid" AND o.amount > 500 to G;
R50,grant traverse on nodes (a:Asset) where a.value > 1000 to G;
R51,grant traverse on nodes (a:Asset) where a.value > 500 to G;
R52,grant traverse on nodes (a:Asset) where a.value < 0 AND a.value > 100 to G;
R53,grant traverse on nodes (d:Document) where d.confidential = false to G;
R54,grant traverse on nodes (d:Document) where true to G;
R55,grant traverse on nodes (d:Document) where d.owner = "admin" to G;
R56,grant traverse on nodes (e:Employee) where e.age >= 18 AND e.age <= 18 to G;
R57,grant traverse on nodes (e:Employee) where e.level > 3 AND e.level >= 4 to G;
R58,grant traverse on nodes (e:Employee) where e.salary != 5000 AND e.salary > 5000 to G;
R59,grant create on nodes (e:Player) to B;
R60,grant traverse on nodes (e:Player) to B;
R61,deny traverse on nodes (e:Player) where v.score > 85 to B;
R62,grant delete on nodes (d:Document) where d.status = archived to Editor;
R63,grant modify{status} on nodes (d:Document) to Editor;
R64,deny traverse on relationships (r:OWNS) where r.active = false to Manager;
R65,grant remove{active} on relationships (r:OWNS) to Manager;
R66,grant create on nodes (u:User) where u.level >= 5 to Supervisor;
R67,grant add{level} on nodes (u:User) to Supervisor;
R68,grant create on nodes (p:Post) where p.visibility = private to Moderator;
R69,grant modify{*} on nodes (p:Post) to Moderator;
R70,grant traverse on nodes (a:Account) where a.balance <= 0 to Auditor;
R71,grant modify{*} on nodes (a:Account) to Auditor;
R72,grant delete on relationships (t:TRANSFER) where t.amount > 10000 to Compliance;
R73,grant modify{*} on relationships (t:TRANSFER) to Compliance;
R74,deny modify{salary} on nodes (e:Employee) to HR_Assistant;
R75,grant add{salary} on nodes (e:Employee) to HR_Assistant;
R76,grant remove{*} on nodes (e:Employee) to HR_Assistant;
R77,deny modify{date} on relationships (r:REPORTS_TO) to Analyst;
R78,grant add{date} on relationships (r:REPORTS_TO) to Analyst;
R79,grant remove{*} on relationships (r:REPORTS_TO) to Analyst;
R80,deny modify{*} on nodes (c:Customer) to Support;
R81,grant add{phone} on nodes (c:Customer) to Support;
R82,grant remove{phone} on nodes (c:Customer) to Support;
R83,deny modify{salary} on nodes (e:Employee) to Payroll_Clerk;
R84,grant add{salary} on nodes (e:Employee) to Payroll_Clerk;
R85,grant remove{salary} on nodes (e:Employee) to Payroll_Clerk;
R86,deny modify{credit_limit} on nodes (a:Account) to Bank_Teller;
R87,grant add{credit_limit} on nodes (a:Account) to Bank_Teller;
R88,grant remove{credit_limit} on nodes (a:Account) to Bank_Teller;
R89,deny modify{role} on nodes (u:User) to IT_Support;
R90,grant add{role} on nodes (u:User) to IT_Support;
R91,grant remove{role} on nodes (u:User) to IT_Support;
R92,grant read{salary} on nodes (e:Employee) to Payroll_Clerk;
R93,grant read{credit_limit} on nodes (a:Account) to Bank_Teller;
R94,grant read{role} on nodes (u:User) to IT_Support;
R95,grant delete on nodes (p:Patient) where p.status = discharged to Senior_Doctor;
R96,grant modify{status} on nodes (p:Patient) to Senior_Doctor;
R97,grant delete on relationships (pr:PRESCRIBES) where pr.dosage > 500 to Chief_Physician;
R98,grant modify{*} on relationships (pr:PRESCRIBES) to Chief_Physician;
R99,grant delete on nodes (e:Event) where e.severity >= 4 to Risk_Manager;
R100,grant modify{*} on nodes (e:Event) to Risk_Manager;
R101,grant delete on nodes (e:Event) where e.status = "critical" to SeniorDoctor;
R102,grant modify{status} on nodes (e:Event) to SeniorDoctor;
R103,deny create on nodes (p:Patient) where p.age < 18 to Intern;
R104,grant modify{*} on nodes (p:Patient) to Intern;
R105,grant create on nodes (*) to Intern;
R106,grant traverse on nodes (p:Patient) where p.condition = "stable" to Intern;
R107,deny delete on nodes (p:Patient) where p.status = critical to Intern;
R108,deny delete on nodes (p:Patient) where p.status <> discharged or p.status = critical to Intern;
R109,grant delete on relationships (t:TREATS) where t.priority >= 5 to HeadPhysician;
R110,grant add{*} on relationships (t:TREATS) to HeadPhysician;
R111,grant traverse on relationships (t:TREATS) where t.status = "active" to HeadPhysician;
R112,grant modify{status} on relationships (t:TREATS) to HeadPhysician;
R113,grant create on nodes (t:Treatment) where t.cost > 10000 to BillingManager;
R114,grant modify{cost} on nodes (t:Treatment) to BillingManager;
R115,grant delete on nodes (t:Treatment) where t.approved = "no" to BillingManager;
R116,grant add{*} on nodes (t:Treatment) to BillingManager;
R117,grant create on relationships (p:PRESCRIBES) where p.dosage > 500 to Doctor;
R118,grant remove{dosage} on relationships (p:PRESCRIBES) to Doctor;
R119,grant traverse on relationships (p:PRESCRIBES) where p.frequency = "daily" to Doctor;
R120,grant modify{*} on relationships (p:PRESCRIBES) to Doctor;
R121,deny modify{diagnosis} on nodes (p:Patient) to Nurse;
R122,grant add{diagnosis} on nodes (p:Patient) to Nurse;
R123,grant read{diagnosis} on nodes (p:Patient) to Nurse;
R124,grant remove{diagnosis} on nodes (p:Patient) to Nurse;
R125,deny modify{*} on nodes (m:MedicalRecord) to Intern;
R126,grant add{*} on nodes (m:MedicalRecord) to Intern;
R127,grant remove{notes} on nodes (m:MedicalRecord) to Intern;
R128,grant read{notes} on nodes (m:MedicalRecord) to Intern;
R129,grant traverse on relationships (pr:PRESCRIBES) where pr.age > 90 AND pr.age < 5 to Junior_Doctor;
R130,grant create on relationships (pr:PRESCRIBES) where pr.dosage >= 1000 AND pr.dosage <= 100 to Junior_Doctor;
R131,deny traverse on nodes (*) to Medical_Secretary;
R132,grant traverse on nodes (m:MedicalRecord) to Medical_Secretary;
R133,grant create on nodes (*) to Medical_Secretary;
R134,grant create on nodes (*) where p.age >= 65 to SeniorDoctor;
R135,grant traverse on nodes (p:Patient) where p.age >= 0 to SeniorDoctor;
R136,grant traverse on relationships (t:TREATS) where t.age = 30 to Department_Head;
R137,grant traverse on relationships (t:TREATS) where t.age >= 18 AND t.age <= 65 to Department_Head;
R138,grant traverse on relationships (t:TREATS) where t.age >= 25 AND t.age <= 40 to Department_Head;
R139,grant add{approval_status} on nodes (t:Treatment) where t.approved = false to Nurse;
R140,grant read{approval_status} on nodes (t:Treatment) to Nurse;
R141,deny read{*} on nodes (t:Treatment) to Nurse;
R142,grant create on relationships (*) to Nurse;
R143,grant traverse on relationships (r:WORKS_ON) where r.year > 2020 to Nurse;
R144,grant create on nodes (e:Document) to Nurse;
R145,grant traverse on nodes (e:Document) to Nurse;
R146,deny traverse on nodes (e:Document) to Nurse;
R147,grant create on nodes (p:Project) where p.active = true AND p.active = false to DataManager;
R148,grant create on nodes (p:Project) where p.phase = "init" AND p.phase != "init" to DataManager;
R149,grant create on nodes (o:Order) where o.status = "paid" AND o.amount > 0 to DataManager;
R150,grant create on nodes (o:Order) where o.status = "paid" to DataManager;
R151,grant create on nodes (o:Order) where o.status = "paid" AND o.amount > 1000 to DataManager;
